,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
8105,,,,,,,,,,,,,,,,,,,,,Steuerfreie Umsätze V+V § 4 Nr. 12 UStG,Tax-exempt sales under section 4 no. 12 UStG (rental and leasing)
8110,,,,,,,,,,,,,,,,,,,,,Sonstige steuerfr. Umsätze Inland,"Other tax-exempt sales, domestic"
8120,,,,,,,,,,,,,,,,,,,,,Steuerfreie Umsätze § 4 Nr. 1a UStG,"Tax-exempt sales, section 4 no. 1a UStG"
8125,,,,,,,,,,,,,,,,,,,,,Steuerfr. EU-Lieferungen § 4 Nr. 1b UStG,"Tax-exempt intra-European Union deliveries, section 4 no. 1b UStG"
8130,,,,,,,,,,,,,,,,,,,,,Innergemeinschaftl. Dreiecksgeschäft,"Deliveries by first purchaser in triangular transactions (EU), section 25 b(2) UStG"
8135,,,,,,,,,,,,,,,,,,,,,Steuerfr. EU-Lief.v.Neufahrzg.ohne UStID,Tax-exempt intra-European Union deliveries of new vehicles to purchasers without VAT identification number
8140,,,,,,,,,,,,,,,,,,,,,Steuerfreie Umsätze Offshore usw.,"Tax-exempt offshore sales, etc."
8150,,,,,,,,,,,,,,,,,,,,,Steuerfreie Umsätze § 4 Nr. 2-7 UStG,Other tax-exempt sales (e.g. section 4 nos. 2-7 UStG)
8160,,,,,,,,,,,,,,,,,,,,,Stfreie Umsätze ohne VoSt-Abzug § 4 UStG,"Tax-exempt sales without input tax deduction, part of total sales, section 4 UStG"
8165,,,,,,,,,,,,,,,,,,,,,Steuerfreie Umsätze ohne Vorsteuerabzug,"Tax-exempt sales without input tax deduction, part of total sales"
8190,,,,,,,,,,,,,,,,,,,,,Erlöse nach § 24 UStG,Revenue taxed at average rates under section 24 UStG
8191,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse §§ 25 und 25a UStG 19% USt,"Revenue, ss. 25 and 25a UStG, 19 % VAT"
8193,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse §§ 25 u. 25a UStG ohne USt,"Revenue, ss. 25 and 25a UStG, no VAT"
8194,,,,,,,,,,,,,,,,,,,,,Umsatzerl.Reiseleist § 25(2) UStG stfrei,"Revenue from travel services, s. 25(2) UStG, tax-exempt"
8195,,,,,,,,,,,,,,,,,,,,,Erlöse Kleinunternehmer § 19 (1) UStG,Revenue of VAT-exempt small business as defined by section 19 (1) UStG
8196,,,,,,,,,,,,,,,,,,,,,Erlöse Geldspielautomaten 19% USt,"Revenue from gaming machines, 19 % VAT"
8200,,,,,,,,,,,,,,,,,,,,,Erlöse,Revenue
8290,,,,,,,,,,,,,,,,,,,,,Erlöse 0% Ust,"Revenue, 0 % VAT"
8300,,,,,,,,,,,,,,,1771,,,,,,Erlöse 7% USt,"Revenue, 7 % VAT"
8310,,,,,,,,,,,,,,,,,,,,,Erlöse EU-Lieferungen 7% USt,"Revenue from intra-European Union supplies of goods and services subject to domestic taxation, 7 % VAT"
8315,,,,,,,,,,,,,,,,,,,,,Erlöse EU-Lieferungen 19% USt,"Revenue from intra-European Union supplies of goods and services subject to domestic taxation, 19 % VAT"
8320,,,,,,,,,,,,,,,,,,,,,Erl.a.im and.EU-Land stpfl.Lieferungen,"Revenue from services taxable in another EU country, not subject to domestic taxation"
8331,,,,,,,,,,,,,,,,,,,,,Erlöse elektr.DL im anderen EU-Land stpf,Revenue from taxable electronic services in another EU country
8333,,,,,,,,,,,,,,,,,,,,,Erlöse 5% USt,"Revenue, 5 % VAT"
8334,,,,,,,,,,,,,,,,,,,,,Erlöse 7% USt,"Revenue, 7 % VAT"
8335,,,,,,,,,,,,,,,,,,,,,Erlöse a.Lieferungen §13b (2) Nr.10 UStG,"Revenue from supplies of mobile telephony devices, tablet computers, game consoles and integrated circuits for which the recipient bears VAT under s. 13b UStG"
8336,,,,,,,,,,,,,,,,,,,,,Nicht steuerbare s. Leistung § 18b UStG,"Revenue from other services taxable in another EU country, for which the recipient bears tax liability"
8337,,,,,,,,,,,,,,,,,,,,,Erlöse aus Leistungen nach § 13b UStG,Revenue from services for which the recipient bears the tax liability under section 13b UStG
8338,,,,,,,,,,,,,,,,,,,,,Nicht steuerbare Umsätze Drittland,"Revenue from services taxable in a third country, not subject to domestic taxation"
8339,,,,,,,,,,,,,,,,,,,,,Nicht steuerbare Umsätze EU-Land,"Revenue from services taxable in another EU country, not subject to domestic taxation"
8340,,,,,,,,,,,,,,,,,,,,,Erlöse 16% USt,"Revenue, 16 % VAT"
8400,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8401,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8402,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8403,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8404,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8405,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8406,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8407,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8408,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8409,,,,,,,,,,,,,,,1776,,,,,,Erlöse 19% USt,"Revenue, 19 % VAT"
8449,,,,,,,,,,,,,,,,,,,,,Erlöse elektr.DL Inland stpf 19% USt,"Revenue from electronic services subject to domestic taxation, 19 % VAT"
8499,,,,,,,,,,,,,,,,,,,,,Nebenerlöse (Bezug zu Materialaufwand),Incidental income (related to purchases)
8500,,,,,,,,,,,,,,,,,,,,,"Sonderbetriebsein., Tätigkeitsvergütung","Special business income, remuneration for work performed"
8501,,,,,,,,,,,,,,,,,,,,,"Sonderbetriebsein., Miet-/Pachteinnahmen","Special business income, rental/lease income"
8502,,,,,,,,,,,,,,,,,,,,,"Sonderbetriebsein., Zinseinnahmen","Special business income, interest income"
8503,,,,,,,,,,,,,,,,,,,,,"Sonderbetriebsein., Haftungsvergütungen","Special business income, liability compensation"
8504,,,,,,,,,,,,,,,,,,,,,"Sonderbetriebsein., Pensionszahlungen","Special business income, pension payments"
8505,,,,,,,,,,,,,,,,,,,,,Sonstige Sonderbetriebseinnahmen,"Special business income, other special business income"
8510,,,,,,,,,,,,,,,,,,,,,Provisionsumsätze,Commission revenue
8514,,,,,,,,,,,,,,,,,,,,,"Provisionsumsätze, stfr.§4 Nr.8 ff.UStG","Tax-exempt commission revenue, section 4 no. 8"
8515,,,,,,,,,,,,,,,,,,,,,"Provisionsumsätze, stfrei §4 Nr. 5 UStG","Tax-exempt commission revenue, section 4 no. 5 UStG"
8516,,,,,,,,,,,,,,,,,,,,,Provisionsumsätze 7% USt,"Commission revenue, 7 % VAT"
8519,,,,,,,,,,,,,,,,,,,,,Provisionsumsätze 19% USt,"Commission revenue, 19 % VAT"
8520,,,,,,,,,,,,,,,,,,,,,Erlöse Abfallverwertung,Revenue from waste recycling
8540,,,,,,,,,,,,,,,,,,,,,Erlöse Leergut,Revenue from empties
8570,,,,,,,,,,,,,,,,,,,,,"Provision, sonstige Erträge","Other income from commissions, licences and patents"
8574,,,,,,,,,,,,,,,,,,,,,Provision so.Ertr.stfr. § 4 Nr.8 ff UStG,"Other income from commissions, licences and patents, tax-exempt, s. 4(8) ff. UStG"
8575,,,,,,,,,,,,,,,,,,,,,Provision so.Ertr.stfr. § 4 Nr. 5 UStG,"Other income from commissions, licences and patents, tax-exempt, s. 4(5) UStG"
8576,,,,,,,,,,,,,,,,,,,,,"Provision, sonstige Erträge 7% USt","Other income from commissions, licences and patents, 7 % VAT"
8579,,,,,,,,,,,,,,,,,,,,,"Provision, sonstige Erträge 19% USt","Other income from commissions, licences and patents, 19 % VAT"
8580,,,,,,,,,,,,,,,,,,,,,Stat. Konto Erlöse allgemeiner USt-Satz,"Statistical account, revenue at general VAT rate (cash basis accounting)"
8581,,,,,,,,,,,,,,,,,,,,,Stat. Konto Erlöse ermäßigter USt-Satz,"Statistical account, revenue at reduced VAT rate (cash basis accounting)"
8582,,,,,,,,,,,,,,,,,,,,,Stat. Konto Erlöse steuerfr./n. stbar,"Statistical account, taxexempt and untaxed revenue (cash basis accounting)"
8589,,,,,,,,,,,,,,,,,,,,,Gegenkto Aufteilung Erlöse Steuersatz,Contra account 8580-8582 if revenue is classified by tax rates (cash basis accounting)
8590,,,,,,,,,,,,,,,,,,,,,Verr. sonstige Sachbezüge (keine Waren),Allocated other noncash benefits (excluding goods)
8591,,,,,,,,,,,,,,,,,,,,,Sachbezüge 7% USt (Waren),"Non-cash benefits, 7 % VAT (goods)"
8595,,,,,,,,,,,,,,,,,,,,,Sachbezüge 19% USt (Waren),"Non-cash benefits, 19 % VAT (goods)"
8600,,,,,,,,,,,,,,,,,,,,,Sonst. Erlöse betr. u. regelmäßig,Other regular operating revenue
8603,,,,,,,,,,,,,,,,,,,,,Sonstige betriebliche Erträge,Other operating income
8604,,,,,,,,,,,,,,,,,,,,,Erstattete Vorsteuer anderer Länder,"Reimbursed input tax, other countries"
8605,,,,,,,,,,,,,,,,,,,,,Sonst. Erträge betriebl. und regelmäßig,Other regular operating income
8606,,,,,,,,,,,,,,,,,,,,,Sonstige betriebliche Erträge verbUN,Other operating income from affiliated companies
8607,,,,,,,,,,,,,,,,,,,,,Andere Nebenerlöse,Other incidental income
8609,,,,,,,,,,,,,,,,,,,,,Sonstige Erträge stfrei §4 Nr.8 ff.UStG,"Other regular operating income tax-exempt, section 4 no. 8 ff UStG"
8610,,,,,,,,,,,,,,,,,,,,,Verrechnete sonstige Sachbezüge,Allocated other non-cash benefits
8611,,,,,,,,,,,,,,,,,,,,,Verrech. sonstige Sachbezüge Kfz 19% USt,"Allocated other non-cash benefits from provision of car, 19 % VAT (use of vehicles)"
8613,,,,,,,,,,,,,,,,,,,,,Verrechn. sonstige Sachbezüge 19% USt,"Allocated other non-cash benefits, 19 % VAT"
8614,,,,,,,,,,,,,,,,,,,,,Verrechn. sonstige Sachbezüge ohne USt,"Allocated other non-cash benefits, no VAT"
8625,,,,,,,,,,,,,,,,,,,,,Sonst. Erträge betr.u. regelmäßig stfrei,"Other regular operating income tax-exempt, e.g. section 4 nos. 2-7 UStG"
8630,,,,,,,,,,,,,,,,,,,,,"Sonst. Erträge betriebl., regelm.7% USt","Other regular operating income, 7 % VAT"
8640,,,,,,,,,,,,,,,,,,,,,"Sonst. Erträge betriebl,, regelm.19% USt","Other regular operating income, 19 % VAT"
8650,,,,,,,,,,,,,,,,,,,,,Erlöse Zinsen und Diskontspesen,Revenue from interest and discount charges
8660,,,,,,,,,,,,,,,,,,,,,Erl.Zinsen /Diskontspesen aus verb.UN,Revenue from interest and discount charges from affiliated companies
8700,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen,Sales allowances
8701,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen stfr.§ 4 Nr.8 ff UStG,Sales allowances on tax-exempt sales under section 4 no. 8 ff. UStG
8702,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen stfr.§4 Nr. 2-7 UStG,Sales allowances on tax-exempt sales under section 4 no. 2-7 UStG
8703,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen sonst.stfr. ohne VoSt,Sales allowances on other tax-exempt sales without input tax deduction
8704,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen sonst.stfr. mit VoSt,Sales allowances on other tax-exempt sales with input tax deduction
8705,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen stfrei §4 Nr.1a UStG,Sales allowances on tax-exempt sales under section 4 no. 1a UStG
8706,,,,,,,,,,,,,,,,,,,,,"Erlösschm.stfr.Dreiecksg.§ 25b(2,4) UStG","Reductions in revenue for tax-free intra-community triangular transactions as per Sect. 25b (2, 4) of the German VAT Act (UStG)"
8710,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen 7% USt,"Sales allowances, 7 % VAT"
8719,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen 0% USt,"Sales allowances, 0 % VAT"
8720,,,,,,,,,,,,,,,,,,,,,Erlösschmälerungen 19% USt,"Sales allowances, 19 % VAT"
8724,,,,,,,,,,,,,,,,,,,,,Erlösschmälerung stfrei innerg.Lieferung,Sales allowances on tax-exempt intra-European Union deliveries
8725,,,,,,,,,,,,,,,,,,,,,Erlösschmälerung EU-Lieferung 7% USt,"Sales allowances on intra-European Union supplies of goods and services subject to domestic taxation, 7 % VAT"
8726,,,,,,,,,,,,,,,,,,,,,Erlösschmälerung EU-Lieferung 19% USt,"Sales allowances on intra-European Union supplies of goods and services subject to domestic taxation, 19 % VAT"
8727,,,,,,,,,,,,,,,,,,,,,Erlösschmälg a.i.and.EU-Land stpfl.Liefg,Sales allowances on supplies of goods and services taxable in another EU country
8730,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti,Cash discounts granted
8731,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti 7 % USt,"Cash discounts granted, 7 % VAT"
8732,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti 5 % USt,"Cash discounts granted, 5 % VAT"
8735,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti 16 % USt,"Cash discounts granted, 16 % VAT"
8736,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti 19 % USt,"Cash discounts granted, 19 % VAT"
8738,,,,,,,,,,,,,,,,,,,,,Gew.Skonti Leistg.§ 13b (2) Nr.10 UStG,"Cash discounts granted for supplies of cell phones, etc. for which the recipient of goods/services is liable for VAT pursuant to section 13b(2) (10) UStG"
8741,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti Leistungen § 13b UStG,Cash discounts granted for goods and services for which the recipient bears the tax liability under section 13b UStG
8742,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti s. Leistung § 18b UStG,"Cash discounts granted on revenue from other services taxable in another EU country, for which the recipient bears tax liability"
8743,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti stfreie EU-Lieferung,"Cash discounts granted on tax-exempt intra-European Union deliveries, section 4 no. 1b UStG"
8745,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti stpfl. EU-Lieferung,Cash discounts granted on intra-European Union supplies of goods and services subject to domestic taxation
8746,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti EU-Lieferungen 7% USt,"Cash discounts granted on intra-European Union supplies of goods and services subject to domestic taxation, 7 % VAT"
8747,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti EU-Lieferungen 5% USt,"Cash discounts granted on intra-European Union supplies of goods and services subject to domestic taxation, 5 % VAT"
8748,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti EU-Lieferungen 19% USt,"Cash discounts granted on intra-European Union supplies of goods and services subject to domestic taxation, 19 % VAT"
8749,,,,,,,,,,,,,,,,,,,,,Gewährte Skonti EU-Lieferungen 16% USt,"Cash discounts granted on intra-European Union supplies of goods and services subject to domestic taxation, 16 % VAT"
8750,,,,,,,,,,,,,,,,,,,,,Gewährte Boni 7% USt,"Volume discounts granted, 7 % VAT"
8760,,,,,,,,,,,,,,,,,,,,,Gewährte Boni 19% USt,"Volume discounts granted, 19 % VAT"
8769,,,,,,,,,,,,,,,,,,,,,Gewährte Boni,Volume discounts granted
8770,,,,,,,,,,,,,,,,,,,,,Gewährte Rabatte,Rebates granted
8780,,,,,,,,,,,,,,,,,,,,,Gewährte Rabatte 7 % USt,"Rebates granted, 7 % VAT"
8790,,,,,,,,,,,,,,,,,,,,,Gewährte Rabatte 19 % USt,"Rebates granted, 19 % VAT"
8800,,,,,,,,,,,,,,,,,,,,,Erlöse Sachanlageverkäufe Buchverlust,Revenue from sales of tangible fixed assets (book loss)
8801,,,,,,,,,,,,,,,,,,,,,"Erlöse Sachanlageverkäufe 19% USt, BV","Revenue from sales of tangible fixed assets, 19 % VAT (book loss)"
8807,,,,,,,,,,,,,,,,,,,,,Erl. Sachanlageverk. § 4 Nr.1a UStG (BV),"Revenue from sales of tangible fixed assets, tax-exempt, section 4 no. 1a UStG (book loss)"
8808,,,,,,,,,,,,,,,,,,,,,Erl. Sachanlageverk. § 4 Nr.1b UStG (BV),"Revenue from sales of tangible fixed assets, tax-exempt, section 4 no. 1b UStG (book loss)"
8817,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe immaterielle VermG, BV",Revenue from sales of intangible fixed assets (book loss)
8818,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe Finanzanlagen, BV",Revenue from sales of long-term financial assets (book loss)
8819,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe Finanzanl. z.T.stfr,BV","Revenue from sales of long-term financial assets, section 3 no. 40 EStG/section 8b(3) KStG (book loss)"
8820,,,,,,,,,,,,,,,,,,,,,"Erlöse Sachanlageverkäufe 19% USt, BG","Revenue from sales of tangible fixed assets, 19 % VAT (book gain)"
8827,,,,,,,,,,,,,,,,,,,,,"Erl. Sachanlageverk.§ 4 Nr.1a UStG,Buchg","Revenue from sales of tangible fixed assets, tax-exempt, section 4 no. 1a UStG (book gain)"
8828,,,,,,,,,,,,,,,,,,,,,"Erl. Sachanlageverk.§ 4 Nr.1b UStG,Buchg","Revenue from sales of tangible fixed assets, tax-exempt, section 4 no. 1b UStG (book gain)"
8829,,,,,,,,,,,,,,,,,,,,,Erlöse Sachanlageverkäufe Buchgewinn,Revenue from sales of tangible fixed assets (book gain)
8837,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe immaterielle VermG, BG",Revenue from sales of intangible fixed assets (book gain)
8838,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe Finanzanlagen, BG",Revenue from sales of long-term financial assets (book gain)
8839,,,,,,,,,,,,,,,,,,,,,"Erlöse Verkäufe Finanzanl. z.T.stfr,BG","Revenue from sales of long-term financial assets, section 3 no. 40 EStG/section 8b(2) KStG (book gain)"
8850,,,,,,,,,,,,,,,,,,,,,"Erl.Verk. WG UV § 4 (3) EStG,19% USt","Revenue from sales of current assets, 19 % VAT, section 4(3) sentence 4 EStG"
8851,,,,,,,,,,,,,,,,,,,,,Erl. Verkauf WG UV § 4 (3) EStG stfrei,"Revenue from sales of current assets, VAT-exempt, section 4 no. 8 ff UStG in conjunction with section 4(3) sentence 4 EStG"
8852,,,,,,,,,,,,,,,,,,,,,"Verkauf WG UV §4 Nr.8ff UStG,f.§4(3)EStG","Revenue from sales of current assets, VAT-exempt, section 4 no. 8 ff UStG in conjunction with section 4(3) sentence 4 EStG, section 3 no. 40 EStG/section 8b(2) KStG"
8853,,,,,,,,,,,,,,,,,,,,,Erlöse Verkauf WG UV § 4 (3) EStG,Revenue from sales of current assets under section 4(3) sentence 4 EStG
8900,,,,,,,,,,,,,,,,,,,,,Unentgeltliche Wertabgaben,Non-cash withdrawals
8905,,,,,,,,,,,,,,,,,,,,,Entnahme von Gegenständen ohne USt,"Withdrawal of items, no VAT"
8906,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenständen ohne USt,"Use of items for nonbusiness purposes, no VAT"
8910,,,,,,,,,,,,,,,,,,,,,Entnahme Unternehmer (Waren) 19% USt,"Withdrawal by business owner for non-business purposes (goods), 19 % VAT"
8915,,,,,,,,,,,,,,,,,,,,,Entnahme Unternehmer (Waren) 7% USt,"Withdrawal by business owner for non-business purposes (goods), 7 % VAT"
8918,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenst.(Tel) ohne USt,"Use of items for nonbusiness purposes, no VAT (use of telephone)"
8919,,,,,,,,,,,,,,,,,,,,,Entnahme Unternehmer (Waren) ohne USt,"Withdrawal by business owner for non-business purposes (goods), no VAT"
8920,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenständen 19% USt,"Use of items for non-business purposes, 19 % VAT"
8921,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenst. (Kfz) 19% USt,"Use of items for non-business purposes, 19 % VAT (use of vehicles)"
8922,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenst. (Tel) 19% USt,"Use of items for non-business purposes, 19 % VAT (use of telephone)"
8924,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenst.(Kfz) ohne USt,"Use of items for nonbusiness purposes, without VAT (use of vehicles)"
8925,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Erbringung Leist.19% USt,"Non-cash other services, 19 % VAT"
8929,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Erbringung Leist. ohne USt,"Non-cash other services, no VAT"
8930,,,,,,,,,,,,,,,,,,,,,Verwendung von Gegenständen 7% USt,"Use of items for non-business purposes, 7 % VAT"
8932,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Erbringung Leist. 7% USt,"Non-cash other services, 7 % VAT"
8935,,,,,,,,,,,,,,,,,,,,,Unentgeltl.Zuwendung Gegenstände 19% USt,"Non-cash benefits, 19 % VAT"
8939,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Zuwend. Gegenstände ohne USt,"Non-cash benefits, no VAT"
8940,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Zuwendung von Waren 19% USt,"Non-cash benefits (goods), 19 % VAT"
8945,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Zuwendung von Waren 7% USt,"Non-cash benefits (goods), 7 % VAT"
8949,,,,,,,,,,,,,,,,,,,,,Unentgeltl. Zuwendung von Waren ohne USt,"Non-cash benefits (goods), no VAT"
8950,,,,,,,,,,,,,,,,,,,,,Nicht steuerb.Umsätze (Innenumsätze),Untaxed sales (internal sales)
8955,,,,,,,,,,,,,,,,,,,,,"USt-Vergütungen, z.B. nach § 24 UStG","VAT reimbursements, e.g. under s. 24 UStG"
8959,,,,,,,,,,,,,,,,,,,,,Direkt mit dem Umsatz verb. Steuern,Taxes directly related to sales
8960,,,,,,,,,,,,,,,,,,,,,Bestandsveränd.unfertige Erzeugnisse,Inventory changes unfinished goods
8970,,,,,,,,,,,,,,,,,,,,,Bestandsveränderung unfertige Leistung,Inventory changes services in progress
8975,,,,,,,,,,,,,,,,,,,,,Bestandsveränderung Bauaufträge,Inventory changes construction contracts in progress
8977,,,,,,,,,,,,,,,,,,,,,Bestandsveränderung Aufträge in Arbeit,Inventory changes orders in progress
8980,,,,,,,,,,,,,,,,,,,,,Bestandsveränderung fertige Erzeugnisse,Inventory changes finished goods
8990,,,,,,,,,,,,,,,,,,,,,Andere aktivierte Eigenleistungen,Other own work capitalised
8994,,,,,,,,,,,,,,,,,,,,,Akt.Eigenleistg. FK-Zins zu Herst.kosten,Other own work capitalised (borrowing costs attributable to cost of sales)
8995,,,,,,,,,,,,,,,,,,,,,Akt. Eigenleistung selbst gesch. imm.VG,Own work capitalised to produce internally generated intangible fixed assets
9000,,,,,,,,,,,,,,,,,,,,,Saldenvorträge Sachkonten,Balances brought forward
9008,,,,,,,,,,,,,,,,,,,,,Saldenvorträge Debitoren,"Balances brought forward, receivables"
9009,,,,,,,,,,,,,,,,,,,,,Saldenvorträge Kreditoren,"Balances brought forward, payables"
9052,,,,,,,,,,,,,,,,,,,,,Offene Posten 2022,"Open items, 2022"
9090,,,,,,,,,,,,,,,,,,,,,Summenvortrag,Aggregate carryforwards account
9101,,,,,,,,,,,,,,,,,,,,,Verkaufstage,Selling days
9102,,,,,,,,,,,,,,,,,,,,,Anzahl der Barkunden,Number of cash customers
9103,,,,,,,,,,,,,,,,,,,,,Beschäftigte Personen (BWA),Number of employees
9104,,,,,,,,,,,,,,,,,,,,,Unbezahlte Personen,Unpaid persons
9105,,,,,,,,,,,,,,,,,,,,,Verkaufskräfte,Sales staff
9106,,,,,,,,,,,,,,,,,,,,,Geschäftsraum qm,Business premises m2
9107,,,,,,,,,,,,,,,,,,,,,Verkaufsraum qm,Sales area m2
9116,,,,,,,,,,,,,,,,,,,,,Anzahl Rechnungen,Number of invoices
9117,,,,,,,,,,,,,,,,,,,,,Anzahl Kreditkunden monatlich,"Number of credit customers, monthly"
9118,,,,,,,,,,,,,,,,,,,,,Anzahl Kreditkunden aufgelaufen,"Number of credit customers, cumulative"
9120,,,,,,,,,,,,,,,,,,,,,Erweiterungsinvestitionen,Expansion investments
9135,,,,,,,,,,,,,,,,,,,,,Auftragseingang im Geschäftsjahr,Orders received in financial year
9140,,,,,,,,,,,,,,,,,,,,,Auftragsbestand,Order books
9141,,,,,,,,,,,,,,,,,,,,,Variables Kapital TH,Limited partner variable capital
9142,,,,,,,,,,,,,,,,,,,,,Variables Kapital - Anteil Teilhafter,Variable capital limited partner share
9143,,,,,,,,,,,,,,,,,,,,,Privatsteuern Kap.ertr.st.(SamPosten),"Private taxes, capital gains tax (compound item)"
9144,,,,,,,,,,,,,,,,,,,,,Privatst. Solidaritätszuschl.(SamPost),"Private taxes, solidarity surcharge (compound item)"
9145,,,,,,,,,,,,,,,,,,,,,Privatst. Kirchensteuer (SamPosten),"Private taxes, church tax (compound item)"
9146,,,,,,,,,,,,,,,,,,,,,Variables Kapital - VH Übertrag §6b EStG,General partner variable capital transfer of reserve under section 6b EStG
9147,,,,,,,,,,,,,,,,,,,,,Variables Kapital - TH Übertrag §6b EStG,Limited partner variable capital transfer of reserve under section 6b EStG
9150,,,,,,,,,,,,,,,,,,,,,Festkapital -andere Kapitalanpassung VH,"Fixed capital other capital account adjustments, general partner"
9151,,,,,,,,,,,,,,,,,,,,,Variables Kapital - Kapitalanpassung VH,"Variable capital other capital account adjustments, general partner"
9152,,,,,,,,,,,,,,,,,,,,,Verlust/Vortragskto-Kapitalanpassung VH,"Accumulated loss carryforward account other capital account adjustments, general partner"
9153,,,,,,,,,,,,,,,,,,,,,Kapitalkto III-and. Kapitalanpassung VH,"Capital account III other capital account adjustments, general partner"
9154,,,,,,,,,,,,,,,,,,,,,Aust.Einlagen n. eingef.Kap.anpass.VH,"Unpaid uncalled contributions to general partner capital other capital account adjustments, general partner"
9155,,,,,,,,,,,,,,,,,,,,,Verr.kto Einzahlverpfl.- Kap.anpass. VH,"Allocation account for call obligations other capital account adjustments, general partner"
9157,,,,,,,,,,,,,,,,,,,,,Privatst.Kapitalertragsteuer (VH),"Private taxes, capital gains tax (general partner) equity"
9158,,,,,,,,,,,,,,,,,,,,,Privatst.Solidaritätszuschlag (VH),"Private taxes, solidarity surcharge (general partner) equity"
9159,,,,,,,,,,,,,,,,,,,,,Privatsteuern Kirchensteuer (VH),"Private taxes, church tax (general partner) equity"
9160,,,,,,,,,,,,,,,,,,,,,Kommandit-Kapital - Kapitalanpassung TH,"Limited partner capital other capital account adjustments, limited partner"
9161,,,,,,,,,,,,,,,,,,,,,Variables Kapital - Kapitalanpassung TH,"Variable capital other capital account adjustments, limited partner"
9162,,,,,,,,,,,,,,,,,,,,,Verlustausgleichkto-Kapitalanpassung TH,"Loss adjustment account other capital account adjustments, limited partner"
9163,,,,,,,,,,,,,,,,,,,,,Kapitalkto III-and. Kapitalanpassung TH,"Capital account III other capital account adjustments, limited partner"
9164,,,,,,,,,,,,,,,,,,,,,Ausst. Einlagen n. eingef.Kap.anpass TH,"Unpaid uncalled contributions to limited partner capital other capital account adjustments, limited partner"
9165,,,,,,,,,,,,,,,,,,,,,Verr.kto Einzahlverpfl.- Kap.anpass. TH,"Allocation account for call obligations other capital account adjustments, limited partner"
9167,,,,,,,,,,,,,,,,,,,,,"Privatst.Kapitalertragsteuer (TH),EK","Private taxes, capital gains tax (limited partner), equity"
